id	rate
30011	28451
30013	39448
30015	36262
30017	34680
30019	49635
30021	33016
30023	29234
30025	41468
30027	34428
30029	35875
30031	36735
30033	29842
30035	29900
30037	40629
30039	31808
30041	38444
30043	39223
30045	38102
30047	27536
30049	38890
30051	36590
30053	27978
30055	33118
30057	35821
30059	32421
30061	27895
30063	35190
30065	30830
30067	35935
30069	32699
30071	34455
30073	38174
30075	28737
30077	27022
30079	33206
30081	30955
30083	51183
30085	29318
30087	36846
30089	26061
30091	43298
30093	38666
30095	36866
30097	28862
30099	40181
30101	42122
30103	37003
30105	39153
30107	31128
30109	23622
30111	39640
31000	42450
31001	39483
31003	61552
31005	33343
31007	56545
31009	41044
31011	53006
31013	38572
31015	45714
31017	38447
31019	38327
31021	43196
31023	47805
31025	41991
31027	54235
31029	43040
31031	39813
31033	46811
31035	50910
31037	38217
31039	51821
31041	44511
31043	29320
31045	31015
31047	33320
31049	35962
31051	35926
31053	38292
31055	47008
31057	57082
31059	57011
31061	44576
31063	48963
31065	45679
31067	40942
31069	52007
31071	37618
31073	54274
31075	29465
31077	39276
31079	37324
31081	50112
31083	48857
31085	67595
31087	39593
31089	49972
31091	32956
31093	40780
31095	41640
31097	32247
31099	53989
31101	37553
31103	51993
31105	43713
31107	39745
31109	38833
31111	42175
31113	50845
31115	28421
31117	26304
31119	37372
31121	39751
31123	50169
31125	45194
31127	40958
31129	47318
31131	38340
31133	41131
31135	59282
31137	47148
31139	42209
31141	39552
31143	52414
31145	38771
31147	39115
31149	41390
31151	36735
31153	41865
31155	42072
31157	36372
31159	42216
31161	38279
31163	37424
31165	44751
31167	43000
31169	47098
31171	36479
31173	40302
31175	46084
31177	43059
31179	38598
31181	40093
31183	49628
31185	46278
32000	36964
32001	42281
32003	35680
32005	52266
32007	40150
32009	39730
32011	38071
32013	43022
32015	45370
32017	22587
32019	27835
32021	35226
32023	31656
32027	25772
32029	33924
32031	41790
32033	39955
32510	39833
33000	45881
33001	41995
33003	42612
33005	40875
33007	35019
33009	45522
33011	47981
33013	43548
33015	52861
33017	37442
33019	37559
34000	52430
34001	40262
34003	66096
34005	48318
34007	43099
34009	48694
34011	35272
34013	52956
34015	42228
34017	47377
34019	67710
34021	54445
34023	49203
34025	58355
34027	71730
34029	40724
34031	43209
34033	40847
34035	73011
34037	49782
34039	51860
34041	44938
35000	34133
35001	36233
35003	29113
